Day,Campaign name,Ad set name,Ad name,Amount spent (MAD),Impressions,Link clicks
2026-08-24,stallion-q3-webdev,lookalike-1pct,video-testimonial-a,420.00,18604,239
2026-08-24,stallion-q3-webdev,lookalike-1pct,carousel-portfolio,275.50,12088,154
2026-08-24,stallion-q3-webdev,broad-morocco,video-testimonial-a,198.00,9247,90
2026-08-24,stallion-q3-ecom,retargeting-30d,static-offer-b,149.90,6355,76
2026-08-25,stallion-q3-webdev,lookalike-1pct,video-testimonial-a,405.60,17902,224
2026-08-25,stallion-q3-webdev,lookalike-1pct,carousel-portfolio,310.00,13407,170
2026-08-25,stallion-q3-webdev,broad-morocco,video-testimonial-a,215.25,9988,97
2026-08-25,stallion-q3-ecom,retargeting-30d,static-offer-b,138.40,6033,71
2026-08-26,stallion-q3-webdev,lookalike-1pct,video-testimonial-a,462.75,20388,262
2026-08-26,stallion-q3-webdev,lookalike-1pct,carousel-portfolio,295.00,12833,162
2026-08-26,stallion-q3-webdev,broad-morocco,video-testimonial-a,180.10,8446,83
2026-08-26,stallion-q3-ecom,retargeting-30d,static-offer-b,163.30,7192,85
