Day,Campaign name,Ad set name,Ad name,Amount spent (MAD),Impressions,Link clicks
2026-08-24,stallion-q3-webdev,lookalike-1pct,video-testimonial-a,412.50,18420,236
2026-08-24,stallion-q3-webdev,lookalike-1pct,carousel-portfolio,268.00,11930,151
2026-08-24,stallion-q3-webdev,broad-morocco,video-testimonial-a,193.75,9110,88
2026-08-24,stallion-q3-ecom,retargeting-30d,static-offer-b,145.20,6240,74
2026-08-25,stallion-q3-webdev,lookalike-1pct,video-testimonial-a,398.10,17650,221
2026-08-25,stallion-q3-webdev,lookalike-1pct,carousel-portfolio,301.45,13180,167
2026-08-25,stallion-q3-webdev,broad-morocco,video-testimonial-a,210.00,9840,95
2026-08-25,stallion-q3-ecom,retargeting-30d,static-offer-b,132.80,5910,69
2026-08-26,stallion-q3-webdev,lookalike-1pct,video-testimonial-a,455.90,20110,258
2026-08-26,stallion-q3-webdev,lookalike-1pct,carousel-portfolio,289.35,12640,159
2026-08-26,stallion-q3-webdev,broad-morocco,video-testimonial-a,176.40,8320,81
2026-08-26,stallion-q3-ecom,retargeting-30d,static-offer-b,158.60,7050,83
